Student_Id,Sem,subject code,subject,subject_short,grade,credits
21pa1a6101,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,A,3.0
21pa1a6101,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,A,3.0
21pa1a6101,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,O,3.0
21pa1a6101,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,A,3.0
21pa1a6101,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,O,3.0
21pa1a6101,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
21pa1a6101,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,O,1.5
21pa1a6101,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
21pa1a6101,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,O,3.0
21pa1a6101,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,S,3.0
21pa1a6101,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,A,3.0
21pa1a6101,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,O,3.0
21pa1a6101,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,O,1.5
21pa1a6101,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,O,3.0
21pa1a6101,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
21pa1a6101,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,O,1.5
21pa1a6101,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,S,3.0
21pa1a6101,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,S,3.0
21pa1a6101,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,S,3.0
21pa1a6101,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
21pa1a6101,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,S,3.0
21pa1a6101,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
21pa1a6101,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,A,3.0
21pa1a6101,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,O,1.5
21pa1a6101,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,O,2.0
21pa1a6101,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,A,3.0
21pa1a6101,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,A,3.0
21pa1a6101,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,O,3.0
21pa1a6101,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,A,3.0
21pa1a6101,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,O,1.5
21pa1a6101,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,O,1.5
21pa1a6101,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,O,1.5
21pa1a6101,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,O,2.0
21pa1a6101,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,O,4.0
21pa1a6101,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,S,3.0
21pa1a6102,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,S,3.0
21pa1a6102,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,B,3.0
21pa1a6102,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,A,3.0
21pa1a6102,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,C,3.0
21pa1a6102,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,A,3.0
21pa1a6102,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
21pa1a6102,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,S,1.5
21pa1a6102,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
21pa1a6102,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,A,3.0
21pa1a6102,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,A,3.0
21pa1a6102,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,A,3.0
21pa1a6102,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,A,3.0
21pa1a6102,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,O,1.5
21pa1a6102,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,O,3.0
21pa1a6102,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
21pa1a6102,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,O,1.5
21pa1a6102,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,A,3.0
